company_name,Anzahl der Jobangebote
KPMG AG Wirtschaftsprüfungsgesellschaft,1525
Sopra Steria,1462
NTT DATA Business Solutions AG,1207
msg systems ag,772
EY Deutschland,662
IU Internationale Hochschule,635
E.ON Digital Technology GmbH,619
adesso SE,569
Stepstone GmbH,551
Accenture,506
Ratbacher GmbH,500
PwC,401
Uniper SE,330
BWI GmbH,317
Statista GmbH,297
ZEISS,290
Deutsche Bahn AG,284
Celonis SE,263
DATAGROUP,254
CHECK24,252
Atruvia AG,241
Securepoint GmbH,232
NTT DATA Deutschland SE,230
Reply,229
BridgingIT GmbH,225
1&1 Mail & Media,223
YOUMMDAY GmbH,223
E.ON,207
Circana GmbH,206
Bosch Gruppe,202
Ratiodata SE,200
FERCHAU GmbH,193
GLS IT Services GmbH,188
ALDI SÜD,171
inovex GmbH,170
PRODYNA SE,161
Publicis Media GmbH,160
Avanade Deutschland GmbH,159
Wavestone Germany AG,157
CANCOM SE,151
Deichmann SE,151
HMS Analytical Software GmbH,148
Shopify,143
Mait GmbH,143
Drees & Sommer SE,138
CONET Solutions GmbH,135
Grant Thornton AG Wirtschaftsprüfungsgesellschaft,135
BearingPoint GmbH,135
DACHSER SE,131
TARGOBANK,131
Verivox GmbH,130
DL Remote,127
4flow,127
HDI AG,127
Schwarz Dienstleistungen,126
Deloitte,124
Mollie B.V.,122
Capgemini Deutschland,122
Computacenter AG & Co. oHG,120
Sparkassen Rating und Risikosysteme GmbH,117
Mercedes-Benz AG,115
Utimaco GmbH,113
GvW Graf von Westphalen Rechtsanwälte Steuerberater Partnerschaft mbB,110
Studyflix GmbH,110
Databricks,109
Capgemini Invent,108
REWE Group,108
"Nordmann, Rassmann GmbH",106
Parloa,106
Senacor Technologies AG,106
TWT GmbH Science & Innovation,106
BMS Corporate Solutions GmbH,105
Cognigy,103
Mercedes - Benz AG,101
KI group GmbH,101
CONTACT Software GmbH,101
Cimt ag,99
valantic Software & Technology Innovations GmbH,99
Zalando,98
BITMARCK-Unternehmensgruppe,97
rumble GmbH & Co. KG,97
SAP SE,96
Henkel AG & Co. KGaA,93
ERGO Group AG,93
ARAG SE,93
Pwc Germany,90
ista SE,88
FirmenABC Marketing GmbH,88
operational services GmbH & Co. KG,87
Sogeti Part of Capgemini (Capgemini Deutschland GmbH),86
IBM,85
tesa SE,85
Fujitsu Services GmbH,84
Deutsche Apotheker- und Ärztebank eG - apoBank,84
trivago,83
Salesforce,83
AXA Konzern AG,82
Vodafone GmbH,80
Deloitte GmbH,80
Amazon Europe Core,79
TP Infinity DACH,78
taod Consulting GmbH,78
A.I. Fitness GmbH,78
Informationstechnikzentrum Bund (ITZBund),77
R+V Allgemeine Versicherung AG,76
TÜV Rheinland Group,76
Vonovia,75
Cofinpro AG,75
FDM Group GmbH,74
INFOMOTION GmbH,74
Deloitte Consulting GmbH,73
SIGNAL IDUNA Gruppe,73
SYNGENIO AG,72
Livello GmbH,71
Amazon Development Center Germany GmbH,70
TÜV SÜD,70
E.ON Grid Solutions GmbH,70
RTL Deutschland GmbH,70
Fujitsu Technology Solutions GmbH,68
Schaeffler Technologies AG & Co. KG,68
Thieme Gruppe,68
BCG Platinion,67
TK Elevator GmbH,67
Porsche Consulting GmbH,66
