grouped_title_v2,Count
Data Engineer,2529
Software Engineer,1404
Data Scientist,1269
Solution Architect,1119
Data Analyst,1114
Business Analyst,877
Product Manager,645
Project Manager,608
Account Manager,491
Machine Learning Engineer,488
DevOps Engineer,488
SAP Consultant,414
Sales Manager,381
IT Consultant,309
Marketing Manager,303
BWL-Artificial Intelligence,252
Cloud Engineer,229
Data Architect,216
System Administrator,161
Mathematiker,153
Consultant IT Prozesse,153
Consultant ,150
IT-Architekt,148
Manager,141
Chemielaborant,137
Softwareentwickler,137
Full Stack Developer,131
Consultant Insurance Transformation,129
Security Analyst,126
Consultant  Financial Services,120
AI-Engineer,110
Backend Engineer,109
Product Owner,107
Business Development Manager,106
Software Developer,104
AI/ML Engineer – Speech ,104
UX Designer,97
Associate Product Owner  Traineeprogramm,97
Werkstudent,95
Requirements Engineer,92
AI Engineer,90
Backend Developer,89
Java Developer – Spring Boot,87
Consultant IT Forensic & Analytics,87
eProcurement Solution Consultant,86
Consultant Data Strategy & Governance,85
Consultant Process Analytics,84
Consultant Data Analytics,84
Student Assistant Research,83
Automation Specialist,83
Wirtschaftsinformatik (B.Sc.),82
Power Platform Consultant für Low-Code,81
IT Architect,79
Consultant Microsoft Modern Work and Business Apps,76
Engineering Manager,74
Java Developer,73
SAP BW/4HANA Berater ,73
Data Strategy & Data Governance Consultant (w|m|d),73
Enterprise Search Engineer,70
Data Platform Architect Supply Solutions,69
Ingenieur,69
Working Student,68
Consultant KI & Machine Learning Public Sector,67
Data Consultant,67
Web Analyst,64
UI Designer,64
Consultant Advisory,63
Team Lead Media and Analytics Solutions Delivery Germany,63
Analytics Engineer,63
Praktikum Content Marketing,62
Praktikum  IT-Strategie,62
Consultant Microsoft OpenAI,60
European Business Development Manager AMD Server Components,60
Manager  Financial Services,60
Research Scientist  im Bereich Product Lifecycle Management,59
Consultant Künstliche Intelligenz,59
Consultant  Data Management,59
Operations Manager,58
PreSales Consultant ERP,58
Business Consultant Industry 4.0 Transformation and Sustainability Supply Solutions,58
Artificial Intelligence,57
Informatiker,56
IT-Expert Data Analytics,56
IT Operations Engineer,55
Global Portfolio Specialist,55
Consultant Risikomanagement Banken,54
Manager Artificial Intelligence,54
Security Engineer,53
Controller,53
Consultant  Strategieberatung,53
CTA,52
Global Solutions Designer,52
Engineer,51
Consultant Data Management,51
BWL,51
Solution Advisor,51
Consultant Artificial Intelligence,50
Praktikant,50
Executive Publisher (m/f/o) with focus on chemical sciences journals,49
Software-Engineer Web,49
SAP Data Consultant,49
Data & AI Governance,49
SAP BTP Developer,49
Global Data and Insights,48
Cloud Architect,48
PTA,48
Consultant SAP MDM  Master Data Management,47
Cloud Solution Developer,47
AI Business Consultant,47
Data Driven Business Consultant,47
Abteilungsleitung Aktuariat Kraftfahrt,47
Freelance Data & AI Experten (DACH),47
Frontend Developer,46
Fullstack Golang Engineer,46
Financial Reporting Analyst ,46
Software Developer & Innovator (m/w/d,46
Solution Engineer,46
GenAI Developer Public Sector,45
Operational Excellence & QM,45
Automation Expert,45
Consultant Audit ESG,44
Software Tester ,44
Technical Program Manager,44
IT-Consultant Software-Testing,44
Business Analytics & AI Lead,44
IT Security Engineer,44
Security Consultant (w/m/x) mit Fokus auf Microsoft Identity Manager,43
Security Consultant (w/m/x) mit Fokus auf PKI,43
Consultant Risk & Actuarial,43
Werkstudent Artificial Intelligence Sales & Management Public Sector,43
Manager  Financial Controlling,42
Data & Intelligence Solution Manager,42
Business Intelligence Specialist,42
Consultant IT Security & Risk Management,42
(Manager) Strategie- und Prozessberater,42
Consultant Cyber Security Governance,42
System Engineer,42
SAP Entwickler:in,42
Account Executive,42
PHP-Softwareentwickler,42
Enterprise Search Architect,41
Datenanalyst,41
Security Consultant (w/m/x) mit Fokus auf Active Directory und Entra ID,41
Platform Engineer,41
Business Intelligence Developer,41
Elektroniker,40
Outsourcing Manager (m|w|d),40
Consultant | Finance Transformation,40
Credit Risk Analyst,40
Consultant Business Intelligence,40
New Technology Engineer f/m/d,40
Financial Analyst,40
Manager  Consulting,39
Manager | Finance Transformation,39
Director,39
Consultant Cloud Computing Google Cloud,39
Laborant,39
Consultant Sustainable Finance,38
Stibo STEP Consultant Master Data Management Supply Solutions,38
Data Platform Engineer,38
Mathematiker:in,38
Studienplätze für den dualen Studiengang Verwaltungsinformatik (Bachelor of Science) in Kooperation mit der Hochschule des Bundes zum Studienstart 1. März 2025,38
Solution-Architect für PLM- & IoT-Lösungen,38
Manager  Aktuar,38
Frontend Engineer,37
Sales Engineer,37
Chemikant,37
Business Intelligence Analyst,37
